building_room,case_number,slot_number,equipment_type,asset_tag,clean_asset_tag,serial_number,mac_address,manufacturer,model,model_code,case_helper,slot_helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-19,Laptop,DDC4CY-002608,DDC4CY002608,HSLH014,10-98-19-4A-51-08,Dell,Precision 7680,2250,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-20,Laptop,DDC4CY-002611,DDC4CY002611,1YLH014,10-98-19-4A-51-41,Dell,Precision 7680,2250,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-21,Laptop,DDC4CY-002763,DDC4CY002763,DRMTH54,AC-B4-80-45-6B-9D,Dell,Precision 7680,2335,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-22,Laptop,DDC4CY-002627,DDC4CY002627,73MH014,10-98-19-4A-52-72,Dell,Precision 7680,2250,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-23,Laptop,DDC4CY-002557,DDC4CY002557,CFLH014,10-98-19-4A-52-D2,Dell,Precision 7680,2250,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-24,Laptop,DDC4CY-002631,DDC4CY002631,JWMH014,10-98-19-4A-52-7A,Dell,Precision 7680,2250,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-25,Laptop,DDC4CY-002613,DDC4CY002613,3RLH014,10-98-19-4A-52-42,Dell,Precision 7680,2250,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-26,Laptop,DDC4CY-002623,DDC4CY002623,H8LH014,10-98-19-4A-66-4D,Dell,Precision 7680,2250,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-27,Laptop,DDC4CY-002684,DDC4CY002684,D2NH014,10-98-19-4A-51-F3,Dell,Precision 7680,2250,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2,2-28,Laptop,DDC4CY-002644,DDC4CY002644,FYMH014,10-98-19-4A-52-22,Dell,Precision 7680,2250,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
